address,price,bed,bath,sq_ft,acres,hoa,garages,pool,land,city_id,city_name
"18383 Ironwood Loop, Abingdon, VA 24210","$327,000",3,2.5,"1,660",N/A,N/A,N/A,False,False,22,Abingdon
"16094 Elliott St, Abingdon, VA 24210","$239,900",3,2,"1,881",N/A,N/A,N/A,False,False,22,Abingdon
"15065 Whites Mill Rd, Abingdon, VA 24210","$289,000",4,2,"1,635",N/A,N/A,N/A,False,False,22,Abingdon
"1170 Willow Run Dr, Abingdon, VA 24210","$269,000",3,2,"1,412",N/A,N/A,N/A,False,False,22,Abingdon
"23446 Matney Dr, Abingdon, VA 24211","$300,000",2,1,"1,196",N/A,N/A,N/A,False,False,22,Abingdon
"18395 Dauphin Dr, Abingdon, VA 24211","$279,000",4,2,"2,052",1.07 acre lot,N/A,N/A,False,False,22,Abingdon
"Tr.26/27 Peaceful Valley Rd Unit 26 & 27, Abingdon, VA 24210","$149,900",N/A,N/A,—,7.95 acre lot,N/A,N/A,False,True,22,Abingdon
"22088 Parks Mill Rd Rd, Abingdon, VA 24211","$229,900",3,2,"1,350",1.1 acre lot,N/A,N/A,False,False,22,Abingdon
"TBD Bryson Cove Rd Unit 29A57,58,59, Abingdon, VA 24210","$349,900",N/A,N/A,—,88.53 acre lot,N/A,N/A,False,True,22,Abingdon
"18959 Middle Dr, Abingdon, VA 24211","$247,000",2,2.5,"1,889",N/A,$90 hoa,N/A,False,False,22,Abingdon
"1103 Panorama Dr, Abingdon, VA 24210","$359,500",3,3,"2,150",N/A,N/A,N/A,False,False,22,Abingdon
"442 Summer St, Abingdon, VA 24210","$245,000",2,1,"1,500",N/A,N/A,N/A,False,False,22,Abingdon
"23077 Ahoy Ln, Abingdon, VA 24211","$410,000",3,3.5,"2,595",N/A,N/A,N/A,False,False,22,Abingdon
"22332 Silver Lake Rd, Abingdon, VA 24211","$340,000",3,1,"1,175",N/A,N/A,N/A,False,False,22,Abingdon
"18278 Repass Rd, Abingdon, VA 24210","$265,000",3,1,"1,000",N/A,N/A,N/A,False,False,22,Abingdon
"Lot 7 Homestead Way, Abingdon, VA 24210","$849,900",3,3.5,"2,782",N/A,N/A,N/A,False,False,22,Abingdon
"25538 Cornelius Dr, Abingdon, VA 24211","$699,000",3,3,"3,396",N/A,N/A,N/A,False,False,22,Abingdon
"Rich Val Rt. 700 Richvalley Rd #5, Abingdon, VA 24210","$495,650",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 9 Kesner Ln #9, Abingdon, VA 24210","$32,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TR.#5& 6 Old Johesboro Rd Unit 5 & 6, Abingdon, VA 24211","$150,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Green Springs Rd #0, Abingdon, TN 24211","$220,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Green Springs Rd, Abingdon, VA 24211","$220,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"17470 Celebrity Ln, Abingdon, VA 24211","$259,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 6 Trotters Ln, Abingdon, VA 24211","$77,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot #6 Trotters Ln #6, Abingdon, VA 24211","$77,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 4 Lake Lndg, Abingdon, VA 24211","$586,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Lake Lndg #2, Abingdon, VA 24211","$309,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Lake Lndg #1, Abingdon, VA 24211","$299,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Lake Lndg, Abingdon, VA 24211","$299,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Front St, Abingdon, VA 24210","$49,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Garrett Creek Rd #22, Abingdon, VA 24210","$199,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Chase Ln #24, Abingdon, VA 24210","$27,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Chase Ln #23, Abingdon, VA 24210","$27,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Lariat Loop #34, Abingdon, VA 24210","$27,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Bridle Dr #6, Abingdon, VA 24210","$27,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Azure Ln, Abingdon, VA 24211","$49,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Azure Unit 1A, Abingdon, VA 24211","$49,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"16037 Knights Bridge Rd, Abingdon, VA 24210","$445,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Lee Hwy #17, Abingdon, VA 24210","$87,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 5 Homestead Way, Abingdon, VA 24211","$89,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Front St #40, Abingdon, VA 24212","$49,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Oak Hill Ests #2, Abingdon, VA 24210","$75,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Lariat Loop Unit NA, Abingdon, VA 24211","$20,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Trout Rd, Abingdon, VA 24210","$30,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Brumley Gap Rd, Abingdon, VA 24210","$75,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Chase Ln Unit NA, Abingdon, VA 24211","$70,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Oak Hill Estates Lot 2, Abingdon, VA 24210","$72,900",N/A,N/A,—,0.76 acre lot,N/A,N/A,False,True,22,Abingdon
"23001 Moonshine Dr, Abingdon, VA 24210","$173,500",N/A,N/A,—,1.77 acre lot,N/A,N/A,False,True,22,Abingdon
"23001 Moonshine Dr #36, Abingdon, VA 24210","$149,900",N/A,N/A,—,1.77 acre lot,N/A,N/A,False,True,22,Abingdon
